"learner","metric","value","metric_group","base_method","meta_type"
"slasso","rank_corr_mean",0.804878,"rank_correlation","lasso","S-learner"
"slasso","rank_corr_sd",0.127876,"rank_correlation","lasso","S-learner"
"slasso","rank_corr_p10",0.64283,"rank_correlation","lasso","S-learner"
"slasso","rank_corr_p50",0.8397,"rank_correlation","lasso","S-learner"
"slasso","rank_corr_p90",0.94125,"rank_correlation","lasso","S-learner"
"slasso","sign_sg1_rate",0.961957,"sign_recovery","lasso","S-learner"
"slasso","sign_sg2_rate",0.777174,"sign_recovery","lasso","S-learner"
"slasso","sign_both_rate",0.73913,"sign_recovery","lasso","S-learner"
"slasso","sign_sg2_ate_q1",0.869565,"sign_recovery","lasso","S-learner"
"slasso","sign_sg2_ate_q4",0.673913,"sign_recovery","lasso","S-learner"
"slasso","rec_sg1_p10",0.18362,"recovery_ratio_sg1","lasso","S-learner"
"slasso","rec_sg1_p25",0.355975,"recovery_ratio_sg1","lasso","S-learner"
"slasso","rec_sg1_p50",0.57375,"recovery_ratio_sg1","lasso","S-learner"
"slasso","rec_sg1_p75",0.7422,"recovery_ratio_sg1","lasso","S-learner"
"slasso","rec_sg1_p90",0.9535,"recovery_ratio_sg1","lasso","S-learner"
"slasso","rec_sg2_p10",-0.23528,"recovery_ratio_sg2","lasso","S-learner"
"slasso","rec_sg2_p25",0.09555,"recovery_ratio_sg2","lasso","S-learner"
"slasso","rec_sg2_p50",0.4489,"recovery_ratio_sg2","lasso","S-learner"
"slasso","rec_sg2_p75",0.837625,"recovery_ratio_sg2","lasso","S-learner"
"slasso","rec_sg2_p90",1.07151,"recovery_ratio_sg2","lasso","S-learner"
"slasso","ate_bias_mean",0.079463,"ate_bias","lasso","S-learner"
"slasso","ate_bias_sd",1.003131,"ate_bias","lasso","S-learner"
"slasso","bias_sq",1.007117,"other","lasso","S-learner"
"slasso","variance",5.912477,"other","lasso","S-learner"
"slasso","norm_bias_sq",0.067599,"bias_variance","lasso","S-learner"
"slasso","norm_variance",0.399765,"bias_variance","lasso","S-learner"
"tboost","mse_median",32.315552,"MSE","boost","T-learner"
"tboost","mse_p10",22.422879,"MSE","boost","T-learner"
"tboost","mse_p25",27.644679,"MSE","boost","T-learner"
"tboost","mse_p75",38.88046,"MSE","boost","T-learner"
"tboost","mse_p90",48.677498,"MSE","boost","T-learner"
"tboost","mse_mean",34.542483,"MSE","boost","T-learner"
"tboost","nmse_median",2.13045,"nMSE","boost","T-learner"
"tboost","nmse_p10",1.50306,"nMSE","boost","T-learner"
"tboost","nmse_p25",1.833125,"nMSE","boost","T-learner"
"tboost","nmse_p75",2.632075,"nMSE","boost","T-learner"
